rmse,offset
0.023281157104575675,0
0.05110452301808233,512
0.08116829620086725,1024
0.10238134880140327,1536
0.11711511760727669,2048
0.12032608150638724,2560
0.1178802478778531,3072
0.1136913112527922,3584
0.10985290054446159,4096
0.11268219731010058,4608
0.11481167968297051,5120
0.11971580307673503,5632
0.12491844168949581,6144
0.12550658897708222,6656
0.12460601826036014,7168
0.1214971974097709,7680
0.11675636137452701,8192
0.1159404845252021,8704
0.11542182966618457,9216
0.11624893400769987,9728
0.11838969056439223,10240
0.11701385825921151,10752
0.11495784943321968,11264
0.1127750580674193,11776
0.10820132884108163,12288
0.10759928964679297,12800
0.10853200278747402,13312
0.10791202474504046,13824
0.11105592394209929,14336
0.10997775577646536,14848
0.10796450200122189,15360
0.10781337316131837,15872
0.1039877686494901,16384
0.10448471381296656,16896
0.10480825359833389,17408
0.103683587327546,17920
0.10657836752577186,18432
0.10483003083846457,18944
0.10372670263953403,19456
0.1040892989215628,19968
0.10037582637202042,20480
0.10128622809466788,20992
0.10091850707344485,21504
0.09953925525744524,22016
0.10092765667842685,22528
0.09918260779631982,23040
0.09804413058326902,23552
0.09844266862772427,24064
0.09590184735919431,24576
0.09667784274874765,25088
0.09607377581291669,25600
0.09438230449153623,26112
0.09516709426417354,26624
0.09300565768376846,27136
0.0913658421610226,27648
0.09187796744433048,28160
0.08948854532244072,28672
0.09013907986376445,29184
0.09009666710258299,29696
0.0881617074296104,30208
0.08852305695897446,30720
0.0855674361859411,31232
0.08417146934700445,31744
0.08453710115352189,32256
0.0828797390186633,32768
0.08436613588219069,33280
0.08459975762977895,33792
0.08293011057903452,34304
0.08255874672580658,34816
0.07933618928652411,35328
0.07764861177723698,35840
0.07748994508724141,36352
0.07709279649335808,36864
0.07856042044314336,37376
0.07902788038959212,37888
0.07778273353027815,38400
0.07647265142283044,38912
0.07387820026582985,39424
0.07155857352350144,39936
0.07152384478704638,40448
0.07205387615527542,40960
0.07302584804483578,41472
0.07427692329454247,41984
0.07337436193874367,42496
0.07142949316588093,43008
0.06956799050792935,43520
0.06624043322486506,44032
0.06584955126349533,44544
0.0667542462375717,45056
0.06767644345178338,45568
0.06979782432583481,46080
0.06915771386337805,46592
0.06705901882885527,47104
0.06557785168368808,47616
